region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Aceh,2020-03-19,1.1726291303548957,1.1532332837916477,0.5457385852290535,1.9005927499642783,0.38874342643763143,2.0619200383765848
Aceh,2020-03-20,1.160874128249296,1.1441669642327308,0.5454707049895797,1.9519972957957632,0.2747981513024066,2.0028027322796604
Aceh,2020-03-21,1.1298597757242566,1.1283251104944756,0.4159969560742275,1.8492373820901586,0.2508335345792129,2.0240584760092637
Aceh,2020-03-22,1.118024063570948,1.1206472303232986,0.3564283370178574,1.8757081589557938,0.18142776953606832,2.082797005456072
Aceh,2020-03-23,1.1057418056898252,1.109911059289824,0.380652606646347,1.9233771187901738,0.07637749835084173,2.001427896395091
Aceh,2020-03-24,1.1065881913692615,1.1202424792555266,0.27232673591566875,1.8432454117900456,0.1337400402057018,2.072993263624072
Aceh,2020-03-25,1.1039425007279478,1.1137074159155698,0.3364726246949642,1.921862090327389,-0.050494344164819016,1.9884433701574287
Aceh,2020-03-26,1.1027843750235862,1.113757787426393,0.2202541467379321,1.8565400978583384,0.014983731444540896,2.096857819240387
Aceh,2020-03-27,1.090897373499586,1.1037104273326162,0.2759657495648292,1.8783639697839563,0.011885753121248538,2.0898681311428904
Aceh,2020-03-28,1.0818978931602528,1.1006642263861217,0.33474330189144047,1.991291629333584,0.050137390776718777,2.198068189237512
Aceh,2020-03-29,1.0782211851981753,1.090993532223604,0.19426375004049815,1.890825410820677,-0.004374783845029894,2.1442732580987744
Aceh,2020-03-30,1.0674245708120698,1.086841875669767,0.15047836845286552,1.8306833747238207,-0.029152190584451444,2.1299989622912636
Aceh,2020-03-31,1.0620888573408849,1.0796366549485388,0.14851675794223781,1.8883323780109522,-0.04095742853677734,2.1520368086868746
Aceh,2020-04-01,1.0468051737388897,1.0640861986142804,0.1857608689494628,2.003120428183344,-0.1265118817875945,2.2153109116852274
Aceh,2020-04-02,1.0340518109708148,1.0718928111841892,0.07274859684987829,1.8573147095935558,-0.13653180806220558,2.2070132346628557
Aceh,2020-04-03,1.0263207426364813,1.0676819355106821,0.0129845627444132,1.852755932069559,-0.05639371929882331,2.3200936426550927
Aceh,2020-04-04,1.0175853219151432,1.0633528134440438,-0.07109737799061651,1.7955540862235175,-0.24843447063871796,2.197956986299645
Aceh,2020-04-05,1.0120067033409907,1.046846108361351,0.06638525781506893,1.995339364832243,-0.2615350186578983,2.254665125406644
Aceh,2020-04-06,0.9998464037711738,1.0597620300150492,-0.1425758760604916,1.8466138966194403,-0.28860927714157575,2.281689273394462
Aceh,2020-04-07,0.9902022963217478,1.0542357726162157,-0.18143168753003872,1.847024083853709,-0.19395451251339138,2.3344617333500848
Aceh,2020-04-08,0.9809616059848726,1.05219264431399,-0.17356047027213087,1.8549982378101224,-0.34460268839354247,2.231571350446612
Aceh,2020-04-09,0.9747900003316536,1.0489933125234392,-0.03950924374815333,2.0678247619139944,-0.27600635671607526,2.422980060239696
Aceh,2020-04-10,0.9707083216633249,1.0472425653369357,-0.07126050275109617,2.0112940935740897,-0.3434290476488338,2.313772278919334
Aceh,2020-04-11,0.966990720306515,1.0358885237206625,-0.05334504350614467,1.9562902648484926,-0.47358941339926075,2.213638074264007
Aceh,2020-04-12,0.9578926797287528,1.0454611395218905,-0.0746136000026391,2.0240992993239395,-0.3965001817342385,2.3873590144316656
Aceh,2020-04-13,0.9544025102277982,1.0481490639678805,-0.03887716101533904,2.0666025453331236,-0.5499480733835105,2.1784216800467364
Aceh,2020-04-14,0.9543063732241897,1.0359832870938899,-0.13874513709537384,2.043478724878659,-0.6465532201032764,2.206564296529129
Aceh,2020-04-15,0.9538445050197825,1.041048861144553,-0.04282837515483698,2.0957137749961174,-0.6834492579799833,2.1315266529020533
Aceh,2020-04-16,0.9453422883062926,1.0317366932238685,-0.09046269435851666,2.0812495055690903,-0.5755466320361529,2.229903145986949
Aceh,2020-04-17,0.9432287005152088,1.0306054441620132,-0.12913074110801445,1.9878300778824127,-0.39607144322585336,2.3592885157416355
Aceh,2020-04-18,0.9449137916032767,1.0312130779881485,-0.13350770256533634,1.9907125055334767,-0.6517720087477082,2.211331003291541
Aceh,2020-04-19,0.9468839491329618,1.035619128053265,-0.12150303090703682,2.013387541978401,-0.5324592535585734,2.2989141428071793
Aceh,2020-04-20,0.9535326937573063,1.0368283851005085,-0.12042049159621238,1.9660277437857314,-0.30720967740935035,2.444518256901269
Aceh,2020-04-21,0.9640632420553644,1.0361926249937468,-0.31063558613313513,1.8221473872458136,-0.4523265924328137,2.2843564815793704
Aceh,2020-04-22,0.9773926744167055,1.0479435549098792,-0.216227019754585,1.982006237787583,-0.5160457264080002,2.421611782793119
Aceh,2020-04-23,0.9935766861944468,1.056178733272783,-0.2582057424619998,1.9879404140682386,-0.46109804918850267,2.3918073858029176
Aceh,2020-04-24,0.9985542280712076,1.0624666311671251,-0.14493450137474168,2.157820872049246,-0.45263961319482426,2.4733445675677195
Aceh,2020-04-25,0.9984265141929113,1.0540505470889103,-0.2656293048907123,1.993270715773877,-0.536278602697112,2.429497132662657
Aceh,2020-04-26,1.0006931606397051,1.0564129812850132,-0.2221870762380308,2.090719060240864,-0.365108474067665,2.620666612536238
Aceh,2020-04-27,1.0047482555510148,1.059415275729907,-0.10393842239981002,2.16509792518512,-0.42445938241485975,2.515893501608505
Aceh,2020-04-28,0.9988935529612136,1.062565591901703,-0.1322506247443102,2.1414951862129987,-0.48757406965001143,2.4620179847635426
