region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Aceh,2020-04-15,1.2470229126295578,1.2168658065889084,0.5852997266733528,1.805614513147065,0.5623832916475621,2.1080881521752146
Aceh,2020-04-16,1.2658308690021098,1.2252624026494208,0.6127534046587493,1.959344775278919,0.2510617555622228,2.0616521881947367
Aceh,2020-04-17,1.2594527858390558,1.214082847338147,0.6130959701735728,2.0164200610374667,0.4582212658251157,2.273730319227336
Aceh,2020-04-18,1.250804043720677,1.2036168874086863,0.604192527557621,2.047813226077221,0.4101859711079793,2.3170387319266386
Aceh,2020-04-19,1.2436272108718285,1.1884574342372156,0.5022461045165222,2.0072244367819443,0.4934673182818388,2.42879590843763
Aceh,2020-04-20,1.2337414100614612,1.188903896483004,0.4747990853768072,1.9935457036968456,0.25930273252063485,2.180686566612524
Aceh,2020-04-21,1.2275146836685191,1.174656058257383,0.489606575287477,2.0283554760060154,0.2429913161318693,2.1895269814694687
Aceh,2020-04-22,1.2263921874967512,1.180890373071303,0.4538470918057238,2.0438166485997926,0.26488175434937344,2.2679868318810956
Aceh,2020-04-23,1.2278969968668458,1.1875109578217742,0.3727099945360197,2.045028452575227,0.2634048867377983,2.3565627831272624
Aceh,2020-04-24,1.226456456715726,1.1807027415628717,0.2582409262379167,2.009281697383792,0.2299079388930317,2.407542735883191
Aceh,2020-04-25,1.2195338546809016,1.1750662011717905,0.2430639880668224,2.0478234230257035,0.1936337827718299,2.4299564138887004
Aceh,2020-04-26,1.2115775365594954,1.1720080586816686,0.4167309734740376,2.2485763499245826,0.14505316482744587,2.465689296035603
Aceh,2020-04-27,1.2047717314576945,1.1763421273146222,0.3782337026736573,2.19772386670882,0.083273727552675,2.3797551803370856
Aceh,2020-04-28,1.194189469965318,1.1651871675299617,0.3886274467858856,2.256316815007797,-0.033055619997228634,2.2435866029292346
Aceh,2020-04-29,1.1914881174151946,1.17110216882221,0.14136440592442626,1.9943976946929631,0.10189805371707236,2.484969566066684
Aceh,2020-04-30,1.1843416670187463,1.1643587000682978,0.30314738635362753,2.180777633390776,0.07866406470338877,2.465903236454837
Aceh,2020-05-01,1.1643964319035591,1.158953578927616,0.16387048038652424,2.070037015384416,-0.07786136901255457,2.319985614673271
Aceh,2020-05-02,1.142837374653174,1.139470520825748,0.11228097553129562,2.079580567454224,-0.009467491800630648,2.4269481379208084
Aceh,2020-05-03,1.1312477168243134,1.1398262505698151,0.0021579875446900553,2.0357013293107538,-0.2500975184596079,2.3283996059169194
Aceh,2020-05-04,1.119019432036445,1.132851569728485,0.0621318325043645,2.043530229265321,-0.3262371146234911,2.2206753828355623
Aceh,2020-05-05,1.1007362314429296,1.1082497911770963,0.06009660405869171,2.066349649484885,-0.28222774963157393,2.309428727978243
Aceh,2020-05-06,1.091271726601576,1.106589785503416,-0.010737905971300466,2.047434523197797,-0.19761623011748014,2.3750359909887546
Aceh,2020-05-07,1.0757502305070972,1.10001317173528,0.014921850316041037,2.1655081475131652,-0.3344123072103071,2.345437207556654
Aceh,2020-05-08,1.0725716513395125,1.108472694261374,0.08160336522186175,2.2449820577148247,-0.3928851547087094,2.3546994708543743
Aceh,2020-05-09,1.0648697918404062,1.0928714461792255,0.01015518167560463,2.178477023775024,-0.5870882280166171,2.2621010421981813
Aceh,2020-05-10,1.0515391265683542,1.0892733422895742,-0.008836588664476487,2.204260178571304,-0.5256103179868227,2.2988161527244717
Aceh,2020-05-11,1.048939342141186,1.0939365789570763,-0.015830238481538306,2.248872066525933,-0.4941663515043817,2.325273307881641
Aceh,2020-05-12,1.0402792601014654,1.078530463738383,-0.18132504253659054,2.145268598639768,-0.44194799938445056,2.471480353947484
Aceh,2020-05-13,1.0318352497484622,1.0954585800971386,-0.012875548643875705,2.3852706933822634,-0.6114264977843343,2.433861163683645
Aceh,2020-05-14,1.0315220436711805,1.0843289464011563,0.005325113614809259,2.4189631087795176,-0.6076491303518502,2.471645677112198
Aceh,2020-05-15,1.0276229410454256,1.100226723705508,-0.3128519488706856,2.1223574179561653,-0.4996974399026618,2.6074890239281405
Aceh,2020-05-16,1.026894341301397,1.0791724485532133,-0.2449600104413249,2.1660496999522705,-0.7205420109797928,2.509639496916076
Aceh,2020-05-17,1.0268065333234415,1.0896241121077024,-0.3968380554596888,2.0835459726851,-0.7730700269314965,2.546916915025885
Aceh,2020-05-18,1.0273147557546425,1.0770891249044985,-0.3242417701148065,2.1060662507872947,-0.6886189698923271,2.611935851836244
Aceh,2020-05-19,1.0305748096374858,1.0852496700292251,-0.2478924964934327,2.1596785637719034,-0.6514842505777563,2.664122289316924
Aceh,2020-05-20,1.025110153183327,1.0733508429940706,-0.3047025892190923,2.1987007709637005,-0.7281164164712969,2.6754156708663466
Aceh,2020-05-21,1.0244432121416671,1.0774572084253902,-0.2910566504217537,2.255591937655998,-0.6345518633795659,2.7549715070814527
Aceh,2020-05-22,1.0263838857589498,1.0873108655388657,-0.3950461801275163,2.160535563085076,-0.8292066786136352,2.7362826042525787
Aceh,2020-05-23,1.0268271048445723,1.0789636278988644,-0.23788871078962195,2.356649265235232,-0.7865771830320191,2.8083387905453723
Aceh,2020-05-24,1.0209704752527704,1.0811345640680887,-0.1953310772328604,2.4162816274218004,-1.05097233685696,2.590295864762373
Aceh,2020-05-25,1.0240213011446315,1.0695036256360688,-0.13347016244663976,2.5337060074015976,-1.0260309624726274,2.639435812984727
Aceh,2020-05-26,1.025680590359772,1.0763866285743628,-0.2476085925974165,2.4254699223096545,-1.0466023838571834,2.7064258558736003
