region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Aceh,2020-03-09,1.1094326542095523,1.0905777179255132,0.424667179528241,1.796180698567599,0.3003428566500862,2.0044342666341057
Aceh,2020-03-10,1.0746559113754834,1.0688067926003235,0.4616274013907734,1.906159475409976,0.04697098015257222,1.9096765653384227
Aceh,2020-03-11,1.0466205827456205,1.0513779293705898,0.4145955037981044,1.9397585917073912,-0.023732579467881307,1.935204102973528
Aceh,2020-03-12,1.011361559795788,1.0241635661886477,0.2783932236377295,1.798641887657485,0.11267379548431111,2.0940458331272915
Aceh,2020-03-13,0.9823419851901859,1.0082780670157052,0.12366195187610997,1.7549405918483114,-0.2374705160800663,1.876476938381423
Aceh,2020-03-14,0.9634443532854202,1.001205823670519,0.06868650642276368,1.7634660679424958,-0.3635639221216943,1.946523864335346
Aceh,2020-03-15,0.9297628363908265,0.979364456444318,0.09609830204272526,1.8571969583108883,-0.166203188627059,2.2036283790443796
Aceh,2020-03-16,0.8956602607173413,0.957025837471877,-0.03612841850240696,1.757847065134239,-0.33873052763158285,2.148650461203093
Aceh,2020-03-17,0.8727682120944464,0.9381303083576575,0.01065333981415327,1.9251847232099535,-0.5433638842944911,1.9251847232099535
Aceh,2020-03-18,0.8424021676904945,0.9292766171247684,-0.32775030535350697,1.745524664826979,-0.5942442704935696,2.071011964516142
Aceh,2020-03-19,0.8247371369186687,0.9076243971459852,-0.3506405058370105,1.7612251558634846,-0.6381557292353888,2.089591992565885
Aceh,2020-03-20,0.7994805707727299,0.8917042957746208,-0.27820812980372356,1.8437406441454889,-0.6013993018448993,2.1886809986730764
Aceh,2020-03-21,0.7739406258345796,0.8839616508871182,-0.47348578117276263,1.6800328828584252,-0.7131385425883113,2.1038215596709744
Aceh,2020-03-22,0.7580939194542455,0.8704274375833944,-0.20047783168962388,2.003853088088295,-0.7381651050602045,2.1184536825323694
Aceh,2020-03-23,0.7466557442430937,0.8649972229643657,-0.41063459270344593,1.7897062573978435,-0.9624157852269907,2.112661206913453
Aceh,2020-03-24,0.724545483590523,0.8484468516758684,-0.42811571108571783,1.8140912899871362,-0.9232738786608155,2.141286602849824
Aceh,2020-03-25,0.7175568144621852,0.8393744839228918,-0.5476733362960421,1.811852623246175,-0.7816178765132619,2.22832714133948
Aceh,2020-03-26,0.700402170179646,0.8337241095948188,-0.500094361786313,1.886246952463478,-0.8477624812230308,2.2514771565724505
Aceh,2020-03-27,0.6870197707997135,0.8290475332104572,-0.5843267981303597,1.8982220149915314,-1.0054788072806073,2.1468149546619055
Aceh,2020-03-28,0.6720361607416944,0.8145088532332274,-0.5592741943306498,1.9031470621305293,-0.9486240758156838,2.3536991484762244
Aceh,2020-03-29,0.6628535574711363,0.8149254796562804,-0.6654028557432677,1.859986241911291,-1.0647900577628289,2.259155346805331
Aceh,2020-03-30,0.6585957342386648,0.8091270863322123,-0.6938020685729577,1.852361243415251,-1.116183106288124,2.290509361905684
Aceh,2020-03-31,0.648749308914714,0.7945790091361561,-0.7122612348557363,1.8951449260718596,-1.3049293519008687,2.178607865620454
Aceh,2020-04-01,0.6413243608152406,0.7877286010029878,-0.6399986756410885,2.016918229821697,-1.4109464612222284,2.1942997055713107
Aceh,2020-04-02,0.625066385060808,0.7850460465805708,-0.6682184365261289,2.035570424655354,-1.3547749084116583,2.2336212201957153
Aceh,2020-04-03,0.6059347417421064,0.7789430699121518,-0.9777825043487427,1.7752511963651147,-1.554029960017389,2.3472329152021163
Aceh,2020-04-04,0.5980887123237298,0.7825159522421108,-0.782676869793767,1.9834523619121882,-1.463786497752605,2.4941889301044284
Aceh,2020-04-05,0.5876930074573324,0.782180041860991,-0.883637987234694,1.9606490716219165,-1.8164196255692235,2.249011984203919
Aceh,2020-04-06,0.5824563103704519,0.7928628059707914,-0.9461144094402565,1.8974979167017145,-1.8629188179446068,2.218790081845547
Aceh,2020-04-07,0.5659310083062359,0.777991273388237,-0.9992268076645006,1.9759760149701393,-2.038299779942302,2.1679254039713958
Aceh,2020-04-08,0.5518333626049133,0.7624068386588063,-0.888244872650943,2.155143995618555,-1.7780978477800409,2.305143040247056
Aceh,2020-04-09,0.5416902304110496,0.7746708780486184,-1.1505050176437899,1.9405894986899308,-1.9969245053969797,2.232096735570049
Aceh,2020-04-10,0.5308538053946378,0.7561175817842984,-0.9660853544424347,2.1308981733071732,-1.8519457343992851,2.4517871363757133
Aceh,2020-04-11,0.5293023063652731,0.7484828664585774,-1.0588424946740749,2.090187260892654,-1.9626884166278509,2.4343534081926403
Aceh,2020-04-12,0.533137632666168,0.7579091009423389,-1.0199614432117177,2.133506554999867,-1.531188782522653,2.8604913120989552
Aceh,2020-04-13,0.5241306038381794,0.7487897197412188,-1.067666292278058,2.0676253341538495,-1.731033599953397,2.6715810882344426
Aceh,2020-04-14,0.5202819636727001,0.7544998647386622,-1.0382109635222463,2.177860382875119,-1.8969475275559802,2.5267046503512747
Aceh,2020-04-15,0.518802674839826,0.7573919014656352,-1.2060538518554056,2.007042334018565,-2.121771050608868,2.161207490431324
Aceh,2020-04-16,0.5229201715212889,0.7469343022844642,-1.1156640958897623,2.1430626546178955,-1.767066316087296,2.6381109503214235
Aceh,2020-04-17,0.5174042190298443,0.7575078870223801,-1.0712397713640216,2.154721351233545,-2.2922613737294806,2.1849565565175553
Aceh,2020-04-18,0.5157966121741122,0.7491998797406367,-1.3544190496510125,1.9816321703573334,-1.9194297442821187,2.5242200998354547
